station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Altus,34.60202,-99.78264,LC09_L2SP_029036_20241006_02_T1,2024-10-06 17:14:05.204749+00:00,0.0,-0.2304347310826596,2024-10-06 17:14:05.204749+00:00,2024-10-06,2024
Altus,34.60198,-99.7946,LC08_L2SP_029036_20241014_02_T1,2024-10-14 17:14:12.639519+00:00,14.78,-0.2174230359791888,2024-10-14 17:14:12.639519+00:00,2024-10-14,2024
Altus,34.60206,-99.8275,LC09_L2SP_029036_20241022_02_T1,2024-10-22 17:14:19.568198+00:00,0.02,-0.2206511857998525,2024-10-22 17:14:19.568198+00:00,2024-10-22,2024
Altus,34.60182,-99.75763,LC08_L2SP_029036_20241030_02_T1,2024-10-30 17:14:06.157457+00:00,27.69,,2024-10-30 17:14:06.157457+00:00,2024-10-30,2024
Altus,34.6018,-99.79881,LC09_L2SP_029036_20241107_02_T1,2024-11-07 17:14:15.941402+00:00,85.61,,2024-11-07 17:14:15.941402+00:00,2024-11-07,2024
Altus,34.602,-99.76671,LC08_L2SP_029036_20241115_02_T1,2024-11-15 17:14:09.673130+00:00,0.0,-0.225166304475339,2024-11-15 17:14:09.673130+00:00,2024-11-15,2024
Altus,34.60174,-99.82803,LC09_L2SP_029036_20241123_02_T1,2024-11-23 17:14:25.163121+00:00,0.01,-0.2144724898006481,2024-11-23 17:14:25.163121+00:00,2024-11-23,2024
Altus,34.60175,-99.81361,LC08_L2SP_029036_20241201_02_T1,2024-12-01 17:14:21.245600+00:00,0.0,-0.1858202329089886,2024-12-01 17:14:21.245600+00:00,2024-12-01,2024
Altus,34.60179,-99.77578,LC09_L2SP_029036_20241209_02_T1,2024-12-09 17:14:14.527087+00:00,79.39,,2024-12-09 17:14:14.527087+00:00,2024-12-09,2024
Altus,34.60206,-99.77307,LC08_L2SP_029036_20241217_02_T1,2024-12-17 17:14:11.359602+00:00,34.34,-0.1182408248589125,2024-12-17 17:14:11.359602+00:00,2024-12-17,2024
Altus,34.60206,-99.80038,LC09_L2SP_029036_20241225_02_T2,2024-12-25 17:14:21.220381+00:00,100.0,,2024-12-25 17:14:21.220381+00:00,2024-12-25,2024
Alva,37.46484,-98.95104,LC09_L2SP_029034_20240108_02_T2,2024-01-08 17:13:37.504898+00:00,100.0,,2024-01-08 17:13:37.504898+00:00,2024-01-08,2024
Alva,36.03401,-99.37772,LC09_L2SP_029035_20240108_02_T1,2024-01-08 17:14:01.395913+00:00,75.65,,2024-01-08 17:14:01.395913+00:00,2024-01-08,2024
Alva,37.46435,-98.95449,LC08_L2SP_029034_20240116_02_T1,2024-01-16 17:13:29.800862+00:00,14.43,-0.0720507044913097,2024-01-16 17:13:29.800862+00:00,2024-01-16,2024
